,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
KOTA BE,Jalousie,KOTA BE,Jalousie,LES JEUNES QUI DEFENDENT LES INTERETS DE NOTION,,ARABO KRIDI,Musulman indicipliné,Ndeko ti mbi,mon ami,Estigmatisation,,Estigmatisation,,TA MO SO LE TI BONGO TI MO GUI OKO SO KOUE,Toi qui n'a qu'une seule tenue?,ITA WA BE AFRIKA,Frère compatriote centrafricain; ,MARA NDE,Autre ethnie,Estigmatisation,,Ti ala baba so, vous les vieux là; ,A baba ti i wa be africa,"Nos pères, compatriotes; "
ARBOU SOUKOULA LI,Un Chrétien  converti à l'Islam; ,ARBOU SOUKOULA LI,Un Chrétien  converti à l'Islam; ,QUALIFICATION NEGATIVE / ADOLESCENTE,,"BA LO , KPANDA !",Regrde-le; chiot; ,A ITA TI I,Mes frères,"ARABOU, WANDE","Musulman , Etranger; ",QUALIFICATION NEFASTE / DELINQUANT,,Ala a Seleka so,Vous les milices musulman là; ,Ita ti mbi,Mon frère; ,DONC TI FA KA QUE MBI YEKE BOUBAZO NA LE TI LO,pour savoir toujours que je suis stupide devant lui,CA CHOQUE / BANDA,,Mo soukoula li,Toi chrétien converti à l'islam,Ita ti mbi,Mon frère; 
MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,CAR C'EST DES CONSIDERATIONS NEFASTES / ADOLESCENTE,,Mo yeke Balaka,Tu es un milice chrétien; ,A ita ti i so a gbou ngombé na tere ti a ita ti ala,Nos frères qui ont utilisé les armes leurs propres frères; ,MON NGA LA SI MO MERDE A ZO SO,"Toi aussi, tu oses causer la merde ",A toroboro aga ti mo kodro tiye,Les rebelles sont en train de venir envaillir notre pays; ,Ama a arabou so,Les musulmans là; ,"ITA TI ZO, BA SI","Mon frère,regarde; ",Bordelle,,TAXI-MOTO,,Ba la bengue,Regarde-le musulman; ,Ita ti mbi ti kodro oko,Mon frère compatriote; 
HAINE,"Ceux de l'ethnie banda, sont des ragotistes, des calomniateurs; ",HAINE,,QUALIFICATION NEFASTE,,Mo yeke gagango,Tu es un étranger profiteur; ,I TA TI MBI TI WALI,Mes chères sœurs;,ENERVANT,,Lawa la a la moungo be,Quand est-ce vous allez prendre au moins les armes,"HON NA NI KA, BA FOU NGO MO","Dégages, tu pues; ","A MOLENGUE TI BE AFRIKA, ZO A DOUA TI ANDA YI APE","Chers compatriotes centrafricains, que personne ne vous trompent; ","Oteur d ane ,tuer",,"BA LO BOUBA ZO . NA POPO TI AZO , A MBENI A YE TI ZONGA , A ZO MINGUI","Regarde-le , stupide pamiles gens importants; Certaines personnes sont des super insolents; ","BA LO , GUERE GUENGUE","Regarde-le, pieds de crevettes;  ",ITA TI MBI,Mon frère; 
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Prostituée; un Voleur; Sidéens; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,"Ceux de l'ethnie banda, sont des ragotistes, des calomniateurs; ",ONG,,ALA A GA GANGO SO ALA DOUA TI ALA TI ZI YANGA APE,Les étrangers profiteurs n'ont pas droit à la prise de parole; ,Me ne Yami,Tu es mon frère,A AGA GANGO,Etrangers profiteurs,KOUMBAMBA,Célibataire,Ama a Mbororo so,Les musulmans là; ,A ITA TI I A WA KUSALA,Chers frères travailleurs; ,Amene monche che; un bossare,,RICHES/FORTS,,"MO YE TI MO KA VENE MINGUI, PARDON HON NA NI KA",Tu ess trop orgueilleux; vas labàs; ,Ama so agbou lani a ngobé so,ceux qui ont pu utiliser les armes hier
UN ANIMAL,Milices Chrétiens,UN ANIMAL,,CA CHOQUE,,a mbororo la si a gbou ngombé si a fa na a centrafricain,Ce sont les peuhls qui ont utilisé les armes contre les centrafrins ,ITA TI MBI TI WALI,Ma sœur; ,NAIF,,Banda,Ethnie banda; ,MO YEKE VRAI YAMA,tu es une vraie bète; ,A ITA TI,Chers frères; ,Un pasteure de IST VIH,,Pointe agal sida,,Mo yeke Balaka,Tu es milice chrétien; ,ITA TI MBI TI NZAPA OKO,Mon frère de la même confession réligieuse; 
HAINE,Mauvais; Pieds; ,HAINE,,TAXI-MOTO,,MO SARA TI MO MINGUI,Tu as beaucoup fait; ,yo Yami,mes frères,A MOLENGUE TI BE AFRICA AYE TI DEBOUSE PEPE.,Les enfants de centrafrique ne veulent pas faire de commercres;,Lo yeke tiki pa,il est vulgaire,"BA LO BENGUE, SOUKOULA LI","Regarde-le, un chrétien converti à l'islam ",ITA WALI,Sœur; ,Put de ta mere,,Quel quu un quib tue,,BA LO AWIN DJARO,"Regarde-le, les femmes ont fuit","ITA TI MBI SI TONGANA MO YE TIKO, MBI KE APE ME TIKO AYO.","Mon frère, si tu veux tousser, je te conseille de tousser un peu loin;  "
TU ES UN BANDA,donner de l'impossibilité à quelqu'un,TU ES UN BANDA,,QUALIFICATION NEFASTE,,Me ne gbangba wi,Tu es un vaut rien,ITA TI MBI,Mon frère,ASTICOT,,,,"A MASSEKA A YEKE A TABA, ALA MOU GUI POKO TI A WA POROSO TONGASO","Les jeunes sont des moutons, car ils suivent bètement les hommes politiques; ",ITA TI MBI,Mon frère; ,Bordellerie,,Prostitue,,"MO INGA YE APE, MO TIKO GUI NA TERE TI MBI SO, MO NGASSA ?","Tu ne sais rien; Tu tousses surmoi là, est-tu un cabris; ",ITA TI I LA AYEKE HON SO,Ce sont frères qui sont entrain de partir 
VAGIN DE TA MERE,jalousie,VAGIN DE TA MERE,,CA CHOQUE,,BA KOTA YA TI ME TI LO,Regarde moi ses gros seins; ,"ITA TI MBI, WA BE AFRICA","Mon frère, compatriote centrafricain; ",HUMULIATION,,,,A MBO TI TOUADERA LA A GBA TI KANGBI YE SO,Les chiens de Touadéra (Porteur de Cache nez contre le COVID-19) qui sont venus faire les distributions de masques à la population; ,ITA TI MBI,Mon frère; ,charlatanisme,,so zo ti sionga a wo zo la,c'est un sidéen,BA LO VOYOU,Regarde-le voyou; ,A ITA TI BE AFRIKA,Les frères centrafricains; 
PERE,Chrétien converti à l'islam,PERE,,CA CREE DE FRUSTRATION,,A MAMA YAKOMA SO KA SO,ces mères de l'ethnie yakoma là; ,ITA WA BE AFRIKA,Frère compatriote centrafricain; ,un toto,,,,LENDA TI MO NA MBI LAWA,"Ton cul, méfies-toi de moi; ",ITA,Frère; ,,,,,MO SARA DONDO TI MO NA MBI APE,Ne me fais de conneries,ITA WALI,Sœur; 
